"id","url","first_paragraph","createdAt","updatedAt"
1,"https://www.theguardian.com/society/2022/dec/13/like-a-horrific-board-game-33-hours-inside-an-nhs-in-crisis","Crammed wards, burnt-out GPs, patients waiting hours for ambulances – the health service is at breaking point","2022-12-13 16:33:48.233+00","2022-12-13 16:33:48.233+00"
2,"https://www.bbc.co.uk/news/health-63954268","Midwives in Wales have voted for strike action over a ""disappointing and unacceptable"" pay award worth around 4% this year.","2022-12-13 16:33:48.379+00","2022-12-13 16:33:48.379+00"
3,"https://www.bbc.co.uk/news/46619202","By clicking on the ""Sign in"" or ""Register"" link on the news homepage you can login to a BBC account. Having a BBC account gives you a number of ways to make the most of the BBC. Find out more here.  ","2022-12-13 16:33:48.433+00","2022-12-13 16:33:48.433+00"
4,"https://www.bbc.co.uk/news/uk-scotland-63956738","The man accused of murdering Emma Caldwell is facing charges against a further 27 women, court papers reveal.","2022-12-13 16:33:48.519+00","2022-12-13 16:33:48.519+00"
5,"https://www.bbc.co.uk/news/uk-england-birmingham-63948823","Detectives have begun searching a property's garden for human remains after reports of a child's death. ","2022-12-13 16:33:48.585+00","2022-12-13 16:33:48.585+00"
6,"https://www.bbc.co.uk/news/science-environment-63950962","A major breakthrough has been announced by US scientists in the race to recreate nuclear fusion.","2022-12-13 16:33:48.632+00","2022-12-13 16:33:48.632+00"
7,"https://www.bbc.co.uk/news/business-63961179","About four million UK households will face higher mortgage payments next year, the Bank of England has said, with the typical payment up by £250.","2022-12-13 16:33:48.706+00","2022-12-13 16:33:48.706+00"
8,"https://www.bbc.co.uk/news/science-environment-63957085","US scientists have reached a major milestone in their attempts to perfect a process which could potentially deliver almost limitless supplies of energy.","2022-12-13 16:33:48.765+00","2022-12-13 16:33:48.765+00"
9,"https://www.bbc.co.uk/news/uk-england-essex-63911965","A former reality TV contestant has been found guilty of offences connected to a sex tape of him with a woman.","2022-12-13 16:33:48.838+00","2022-12-13 16:33:48.838+00"
10,"https://www.bbc.co.uk/news/uk-politics-63959729","Watch: Thousands of Albanians will be returned home - Sunak","2022-12-13 16:33:48.885+00","2022-12-13 16:33:48.885+00"
11,"https://www.bbc.co.uk/news/world-europe-jersey-63957055","Two more deaths have been confirmed at the site of an explosion in Jersey, which takes the total number to seven, police have said.","2022-12-13 16:33:49.266+00","2022-12-13 16:33:49.266+00"
12,"https://www.bbc.co.uk/news/world-europe-63952993","Greek MEP Eva Kaili has denied involvement in an alleged bribery scandal involving World Cup host Qatar at the European Parliament.","2022-12-13 16:33:49.329+00","2022-12-13 16:33:49.329+00"
13,"https://www.liverpoolecho.co.uk/news/liverpool-news/suspects-named-weapons-found-police-25743607","Officers have been stopping suspects and carrying out open land searches across the borough","2022-12-13 16:33:49.667+00","2022-12-13 16:33:49.667+00"
14,"https://www.bbc.co.uk/news/uk-england-birmingham-63954733","Families of three young boys who died after being pulled from an icy lake are suffering unimaginable pain, a family member has said.","2022-12-13 16:33:49.785+00","2022-12-13 16:33:49.785+00"
15,"https://www.edinburghlive.co.uk/news/edinburgh-news/edinburgh-singer-collapses-stage-heart-25742728","Popular Edinburgh punk band The Exploited have been forced to cancel the remainder of their international tour after singer Wattie Buchan collapsed on stage during a gig.","2022-12-13 16:33:49.933+00","2022-12-13 16:33:49.933+00"
16,"https://www.edinburghlive.co.uk/news/edinburgh-news/people-avoiding-edinburghs-leith-links-25743040","Campaigners said as well as broken lampposts contributing to the problem, ""significant stretches"" of the Links are ""completely unlit"".","2022-12-13 16:33:50.279+00","2022-12-13 16:33:50.279+00"
