"id","hashtag","createdAt","updatedAt"
1,"follows","2022-12-13 16:33:58.904+00","2022-12-13 16:33:58.904+00"
2,"information","2022-12-13 16:33:58.906+00","2022-12-13 16:33:58.906+00"
3,"Birmingham","2022-12-13 16:33:58.907+00","2022-12-13 16:33:58.907+00"
4,"BBC News","2022-12-13 16:33:58.909+00","2022-12-13 16:33:58.909+00"
5,"Police","2022-12-13 16:33:58.91+00","2022-12-13 16:33:58.91+00"
6,"suggesting","2022-12-13 16:33:58.911+00","2022-12-13 16:33:58.911+00"
7,"people","2022-12-13 16:33:58.916+00","2022-12-13 16:33:58.916+00"
8,"across","2022-12-13 16:34:23.913+00","2022-12-13 16:34:23.913+00"
9,"Following","2022-12-13 16:34:23.939+00","2022-12-13 16:34:23.939+00"
10,"offensive","2022-12-13 16:34:23.944+00","2022-12-13 16:34:23.944+00"
11,"Officers","2022-12-13 16:34:23.968+00","2022-12-13 16:34:23.968+00"
12,"possession","2022-12-13 16:34:23.992+00","2022-12-13 16:34:23.992+00"
13,"public","2022-12-13 16:34:24.039+00","2022-12-13 16:34:24.039+00"
14,"recovered","2022-12-13 16:34:24.05+00","2022-12-13 16:34:24.05+00"
15,"search","2022-12-13 16:34:24.051+00","2022-12-13 16:34:24.051+00"
16,"searches","2022-12-13 16:34:24.053+00","2022-12-13 16:34:24.053+00"
17,"weapons","2022-12-13 16:34:24.058+00","2022-12-13 16:34:24.058+00"
18,"County Lines","2022-12-13 16:34:24.888+00","2022-12-13 16:34:24.888+00"
19,"operation","2022-12-13 16:34:24.89+00","2022-12-13 16:34:24.89+00"
20,"supply","2022-12-13 16:34:24.89+00","2022-12-13 16:34:24.89+00"
21,"action","2022-12-13 16:34:24.914+00","2022-12-13 16:34:24.914+00"
22,"GMB","2022-12-13 16:34:24.915+00","2022-12-13 16:34:24.915+00"
23,"Government","2022-12-13 16:34:24.916+00","2022-12-13 16:34:24.916+00"
24,"health","2022-12-13 16:34:24.957+00","2022-12-13 16:34:24.957+00"
25,"Mersey Care","2022-12-13 16:34:24.957+00","2022-12-13 16:34:24.957+00"
26,"strike","2022-12-13 16:34:24.958+00","2022-12-13 16:34:24.958+00"
27,"support","2022-12-13 16:34:24.958+00","2022-12-13 16:34:24.958+00"
28,"workers","2022-12-13 16:34:24.959+00","2022-12-13 16:34:24.959+00"
29,"family","2022-12-13 16:34:25.074+00","2022-12-13 16:34:25.074+00"
30,"friends","2022-12-13 16:34:25.076+00","2022-12-13 16:34:25.076+00"
31,"fundraiser","2022-12-13 16:34:25.163+00","2022-12-13 16:34:25.163+00"
32,"loving","2022-12-13 16:34:25.167+00","2022-12-13 16:34:25.167+00"
33,"around","2022-12-13 16:34:25.186+00","2022-12-13 16:34:25.186+00"
34,"borough","2022-12-13 16:34:25.187+00","2022-12-13 16:34:25.187+00"
35,"conditions","2022-12-13 16:34:25.187+00","2022-12-13 16:34:25.187+00"
36,"council","2022-12-13 16:34:25.493+00","2022-12-13 16:34:25.493+00"
37,"footways","2022-12-13 16:34:25.494+00","2022-12-13 16:34:25.494+00"
38,"gritted","2022-12-13 16:34:25.494+00","2022-12-13 16:34:25.494+00"
39,"gritting","2022-12-13 16:34:25.494+00","2022-12-13 16:34:25.494+00"
40,"during","2022-12-13 16:34:25.495+00","2022-12-13 16:34:25.495+00"
41,"highway","2022-12-13 16:34:25.505+00","2022-12-13 16:34:25.505+00"
42,"However","2022-12-13 16:34:25.506+00","2022-12-13 16:34:25.506+00"
43,"keeping","2022-12-13 16:34:25.506+00","2022-12-13 16:34:25.506+00"
44,"latest","2022-12-13 16:34:25.507+00","2022-12-13 16:34:25.507+00"
45,"Merseyside","2022-12-13 16:34:25.507+00","2022-12-13 16:34:25.507+00"
46,"network","2022-12-13 16:34:25.515+00","2022-12-13 16:34:25.515+00"
47,"pathways","2022-12-13 16:34:25.516+00","2022-12-13 16:34:25.516+00"
48,"residents","2022-12-13 16:34:25.517+00","2022-12-13 16:34:25.517+00"
49,"routes","2022-12-13 16:34:25.519+00","2022-12-13 16:34:25.519+00"
50,"Sefton","2022-12-13 16:34:25.521+00","2022-12-13 16:34:25.521+00"
51,"service","2022-12-13 16:34:25.526+00","2022-12-13 16:34:25.526+00"
52,"temperatures","2022-12-13 16:34:25.527+00","2022-12-13 16:34:25.527+00"
53,"tonnes","2022-12-13 16:34:25.527+00","2022-12-13 16:34:25.527+00"
54,"traffic","2022-12-13 16:34:25.528+00","2022-12-13 16:34:25.528+00"
55,"transport","2022-12-13 16:34:25.528+00","2022-12-13 16:34:25.528+00"
56,"trucks","2022-12-13 16:34:25.636+00","2022-12-13 16:34:25.636+00"
57,"winter","2022-12-13 16:34:25.636+00","2022-12-13 16:34:25.636+00"
58,"children","2022-12-13 16:34:26.519+00","2022-12-13 16:34:26.519+00"
59,"inadequate","2022-12-13 16:34:26.52+00","2022-12-13 16:34:26.52+00"
60,"inspection","2022-12-13 16:34:26.575+00","2022-12-13 16:34:26.575+00"
61,"nursery","2022-12-13 16:34:26.576+00","2022-12-13 16:34:26.576+00"
62,"report","2022-12-13 16:34:26.576+00","2022-12-13 16:34:26.576+00"
63,"setting","2022-12-13 16:34:26.577+00","2022-12-13 16:34:26.577+00"
64,"training","2022-12-13 16:34:26.578+00","2022-12-13 16:34:26.578+00"
65,"administration","2022-12-13 16:34:27.16+00","2022-12-13 16:34:27.16+00"
66,"appointed","2022-12-13 16:34:27.161+00","2022-12-13 16:34:27.161+00"
67,"collapsed","2022-12-13 16:34:27.162+00","2022-12-13 16:34:27.162+00"
68,"Company","2022-12-13 16:34:27.162+00","2022-12-13 16:34:27.162+00"
69,"former","2022-12-13 16:34:27.173+00","2022-12-13 16:34:27.173+00"
70,"West Derby","2022-12-13 16:34:27.174+00","2022-12-13 16:34:27.174+00"
71,"closure","2022-12-13 16:34:27.179+00","2022-12-13 16:34:27.179+00"
74,"damage","2022-12-13 16:34:27.183+00","2022-12-13 16:34:27.183+00"
75,"decking","2022-12-13 16:34:27.184+00","2022-12-13 16:34:27.184+00"
76,"notice","2022-12-13 16:34:27.184+00","2022-12-13 16:34:27.184+00"
77,"Sefton Council","2022-12-13 16:34:27.185+00","2022-12-13 16:34:27.185+00"
78,"weather","2022-12-13 16:34:27.186+00","2022-12-13 16:34:27.186+00"
79,"couple","2022-12-13 16:34:30.262+00","2022-12-13 16:34:30.262+00"
80,"elderly","2022-12-13 16:34:30.264+00","2022-12-13 16:34:30.264+00"
81,"footage","2022-12-13 16:34:30.266+00","2022-12-13 16:34:30.266+00"
82,"Ford Fiesta","2022-12-13 16:34:30.267+00","2022-12-13 16:34:30.267+00"
83,"Friday","2022-12-13 16:34:30.274+00","2022-12-13 16:34:30.274+00"
84,"silver","2022-12-13 16:34:30.277+00","2022-12-13 16:34:30.277+00"
85,"stolen","2022-12-13 16:34:30.279+00","2022-12-13 16:34:30.279+00"
86,"Bootle","2022-12-13 16:34:30.635+00","2022-12-13 16:34:30.635+00"
87,"customers","2022-12-13 16:34:30.638+00","2022-12-13 16:34:30.638+00"
88,"Wetherspoon","2022-12-13 16:34:30.64+00","2022-12-13 16:34:30.64+00"
89,"Network Rail","2022-12-13 16:34:30.871+00","2022-12-13 16:34:30.871+00"
90,"RMT","2022-12-13 16:34:30.873+00","2022-12-13 16:34:30.873+00"
91,"Tracey","2022-12-13 16:34:30.936+00","2022-12-13 16:34:30.936+00"
92,"beautiful","2022-12-13 16:34:31.113+00","2022-12-13 16:34:31.113+00"
